52 Te 126 125.9033109(16)
52 Te 128 127.90446128(93)
52 Te 130 129.906222748(12)
53 I 127 126.9044719(39)
54 Xe 124 123.9058920(19)
54 Xe 126 125.9042983(38)
54 Xe 128 127.9035310(11)
54 Xe 129 128.9047808611(60)
54 Xe 130 129.903509349(10)
54 Xe 131 130.90508406(24)
54 Xe 132 131.9041550856(56)
54 Xe 134 133.90539466(90)
54 Xe 136 135.907214484(11)
55 Cs 133 132.9054519610(80)
56 Ba 130 129.9063207(28)
56 Ba 132 131.9050611(11)
56 Ba 134 133.90450818(30)
56 Ba 135 134.90568838(29)
56 Ba 136 135.90457573(29)
56 Ba 137 136.90582714(30)
56 Ba 138 137.90524700(31)
57 La 138 137.9071149(37)
57 La 139 138.9063563(24)
58 Ce 136 135.90712921(41)
58 Ce 138 137.905991(11)
58 Ce 140 139.9054431(23)
58 Ce 142 141.9092504(29)
59 Pr 141 140.9076576(23)
60 Nd 142 141.9077290(20)
60 Nd 143 142.9098200(20)
60 Nd 144 143.9100930(20)
60 Nd 145 144.9125793(20)
60 Nd 146 145.9131226(20)
60 Nd 148 147.9168993(26)
60 Nd 150 149.9209022(18)
61 Pm 145 144.9127559(33)
61 Pm 147 146.9151450(19)
62 Sm 144 143.9120065(21)
62 Sm 147 146.9149044(19)
62 Sm 148 147.9148292(19)
62 Sm 149 148.9171921(18)
62 Sm 150 149.9172829(18)
62 Sm 152 151.9197397(18)
62 Sm 154 153.9222169(20)
63 Eu 151 150.9198578(18)
63 Eu 153 152.9212380(18)
64 Gd 152 151.9197995(18)
64 Gd 154 153.9208741(17)
64 Gd 155 154.9226305(17)
64 Gd 156 155.9221312(17)
64 Gd 157 156.9239686(17)
64 Gd 158 157.9241123(17)
64 Gd 160 159.9270624(18)
65 Tb 159 158.9253547(19)
66 Dy 156 155.9242847(17)
66 Dy 158 157.9244159(31)
66 Dy 160 159.9252046(20)
66 Dy 161 160.9269405(20)
66 Dy 162 161.9268056(20)
66 Dy 163 162.9287383(20)
66 Dy 164 163.9291819(20)
67 Ho 165 164.9303288(21)
68 Er 162 161.9287884(20)
68 Er 164 163.9292088(20)
68 Er 166 165.9302995(22)
68 Er 167 166.9320546(22)
68 Er 168 167.9323767(22)
68 Er 170 169.9354702(26)
69 Tm 169 168.9342179(22)
70 Yb 168 167.9338896(22)
70 Yb 170 169.9347664(22)
70 Yb 171 170.9363302(22)
70 Yb 172 171.9363859(22)
70 Yb 173 172.9382151(22)
70 Yb 174 173.9388664(22)
70 Yb 176 175.9425764(24)
71 Lu 175 174.9407752(20)
71 Lu 176 175.9426897(20)
72 Hf 174 173.9400461(28)
72 Hf 176 175.9414076(22)
72 Hf 177 176.9432277(20)
72 Hf 178 177.9437058(20)
72 Hf 179 178.9458232(20)
72 Hf 180 179.9465570(20)
73 Ta 180 179.9474648(24)
73 Ta 181 180.9479958(20)
74 W 180 179.9467108(20)
74 W 182 181.94820394(91)
74 W 183 182.95022275(90)
74 W 184 183.95093092(94)
74 W 186 185.9543628(17)
75 Re 185 184.9529545(13)
75 Re 187 186.9557501(16)
76 Os 184 183.9524885(14)
76 Os 186 185.9538350(16)
76 Os 187 186.9557474(16)
76 Os 188 187.9558352(16)
76 Os 189 188.9581442(17)
76 Os 190 189.9584437(17)
